Burgh,"Date of adoption 
 of police system",Earlier burghal history,"Post Union 
 parliamentary burgh status"
Kirkcudbright royal burgh,1893?,Royal burgh 1445,One of the Dumfries Burghs 1708 to 1918
New Galloway royal burgh,1892,Royal burgh 1630,One of the Wigtown Burghs 1708 to 1885
Castle Douglas burgh,1862,Burgh of barony 1791,None
Dalbeattie burgh,1858,None,None
Gatehouse of Fleet burgh,1852,Burgh of barony 1795,None
Maxwelltown burgh,1833–1931 †,Burgh of barony 1810,None
