Burgh,"Date of adoption 
 of police system",Earlier burghal history,"Post Union 
 parliamentary burgh status"
Renfrew royal burgh,1855,Royal burgh status 1397,"One of the Clyde Burghs 1708 to 1832 
 and of the Kilmarnock Burghs 1832 to 1918"
Barrhead burgh,1894,None,None
Crawfurdsdyke burgh,adopted into Greenock 1840,Burgh of barony 1642,None
Crosshill burgh,1871–1891 †,None,None
Gourock burgh,1858,Burgh of barony 1694,None
Govanhill burgh,1876–1891 †,None,None
Greenock burgh,1840,"Burgh of barony 1635 
 Parliamentary burgh 1832",None
Johnstone burgh,1857,None,None
Kinning Park burgh,1871–1905 †,None,None
Paisley burgh,1806 (Private Act),"Burgh of barony 1488 
 Burgh of regality 1587",None
Pollokshaws burgh,1858–1912 †,Burgh of barony 1813,None
Pollokshields burgh,1876–1891 †,None,None
Pollokshields East burgh,1880–1891 †,None,None
Port Glasgow burgh,1800 (Private Act),Burgh of barony 1668,One of the Kilmarnock Burghs 1832 to 1918
