Burgh,"Date of adoption 
 of police system",Earlier burghal history,"Post Union 
 parliamentary burgh status"
Elgin royal burgh,1833,Royal burgh status confirmed 1457,One of the Elgin Burghs 1708 to 1918
Forres royal burgh,1836,Re-erected as royal burgh 1496,One of the Inverness Burghs 1708 to 1918
Burghead burgh,1900,None,None
Grantown-on-Spey burgh,1898,Burgh of regality 1694,None
Lossiemouth and Branderburgh burgh,1890,None,None
Rothes burgh,1884,None,None
