Burgh,"Date of adoption 
 of police system",Earlier burghal history,"Post Union 
 parliamentary burgh status"
Dumbarton royal burgh,1833,Royal burgh by 1532,"One of the Clyde Burghs 1708 to 1832, 
 of the Kilmarnock Burghs 1832 to 1918 
 and of the Dumbarton Burghs 1918 to 1950"
Bearsden burgh,1958,None,None
Clydebank burgh,1886,None,One of the Dumbarton Burghs 1918 to 1950
Cove and Kilcreggan burgh,1865,None,None
Cumbernauld burgh,1968,Burgh of barony 1649 - 1893,None
Helensburgh burgh,1846,Burgh of barony 1802,None
Kirkintilloch burgh,1836,Burgh of barony 1526,None
Milngavie burgh,1875,"Burgh of regality 1648 
 Confirmed 1662",None
