Burgh,"Date of adoption 
 of police system",Earlier burghal history,"Post Union 
 parliamentary burgh status"
"Aberdeen royal burgh 
 (County of a City from 1899 
 - previously straddled Aberdeenshire and Kincardineshire)",1862 [note a],Royal burgh from 1124,"One of the Aberdeen Burghs 1708 to 1832 
 Aberdeen burgh constituency 1832 to 1885"
"Dundee royal burgh 
 (County of a city from 1894 
 - previously in Forfarshire)",1837,Royal burgh from 1191–1195,"One of the Perth Burghs 1708 to 1832 
 Dundee burgh constituency 1832 to 1950"
"Edinburgh royal burgh 
 (County of a City from 13th century)",1805 (by Private Act),Royal burgh from 1124–1127,Edinburgh burgh constituency 1708 to 1885
"Glasgow royal burgh 
 (County of a City from 1893
 - previously in Lanarkshire)",1800 (by Private Act)[note b],Royal burgh 1611,"One of the Clyde Burghs 1708 to 1832 
 Glasgow burgh constituency 1832 to 1885"
