Burgh,"Date of adoption 
 of police system",Earlier burghal history,"Post Union 
 parliamentary burgh status"
Kirkwall royal burgh,1838,Royal burgh 1486,"One of the Tain Burghs 1708 to 1832 
 and of the Wick Burghs 1832 to 1918"
Stromness burgh,1856,Burgh of barony 1817,None
