Burgh,"Date of adoption 
 of police system",Earlier burghal history,"Post Union 
 parliamentary burgh status"
Inverness royal burgh,1862,Created royal burgh c 1130 - 53,One of the Inverness Burghs 1708 to 1918
Fort William burgh,1875,Burgh of barony as Gordonsburgh 1618,None
Kingussie burgh,1867,Burgh of barony 1464,None
