Burgh,"Date of adoption 
 of police system",Earlier burghal history,"Post Union 
 parliamentary burgh status"
Wick royal burgh,1862,Royal burgh 1589,"One of the Tain Burghs 1708 to 1832 
 and of the Wick Burghs 1832 to 1918"
Thurso  burgh,1841,Burgh of barony 1633,None
