Burgh,"Date of adoption 
 of police system",Earlier burghal history,"Post Union 
 parliamentary burgh status"
Arbroath royal burgh,1836,"Royal burgh 1599 [or perhaps 1555, when Johne Lyne was a commissioner for ""Abirbrothok"" at a convention of the royal burghs of Scotland.","One of the Aberdeen Burghs 1708 to 1832 
 and of the Montrose Burghs 1832 to 1950"
Brechin royal burgh,1893?,Royal burgh status ratified 1641,"One of the Aberdeen Burghs 1708 to 1832 
 and of the Montrose Burghs 1832 to 1950"
Forfar royal burgh,1857,Created royal burgh c 1123 - 62,"One of the Perth Burghs 1708 to 1832 
 and of the Montrose Burghs 1832 to 1950"
Montrose royal burgh,1833,Created royal burgh by c 1124 - 53,"One of the Aberdeen Burghs 1708 to 1832 
 and of the Montrose Burghs 1832 to 1950"
Broughty Ferry burgh - now part of Dundee,1864–1913 ‡,None,None
Carnoustie burgh,1889,None,None
Kirriemuir burgh,1834,"Burgh of barony 1459 
 Burgh of regality 1670",None
Monifieth burgh,1895,None,None
