Burgh,"Date of adoption 
 of police system",Earlier burghal history,"Post Union 
 parliamentary burgh status"
Selkirk royal burgh,1863,Royal burgh by 1328,"One of the Linlithgow Burghs 1708 to 1832 
 and of the Hawick Burghs 1868 to 1918"
Galashiels burgh,1850,Burgh of barony 1599,One of the Hawick Burghs 1868 to 1918
