Burgh,"Date of adoption 
 of police system",Earlier burghal history,"Post Union 
 parliamentary burgh status"
Alloa  burgh,1854,"Burgh of regality 1497, 
 reerected 1620",None
Alva  burgh,1876,None,None
Dollar burgh,1891,Burgh of regality 1702,None
Tillicoultry burgh,1871,Burgh of barony 1634,None
