Burgh,"Date of adoption 
 of police system",Earlier burghal history,"Post Union 
 parliamentary burgh status"
Jedburgh royal burgh,1847,Royal burgh status restored by 1424,One of the Haddington Burghs 1708 to 1885
Hawick burgh,1845,"Burgh of barony 1511, burgh of regality 1669",One of the Hawick Burghs 1868 to 1918
Kelso burgh,1838,Burgh of barony 1614,None
Melrose burgh,1895,"Burgh of barony 1605 
 Burgh of regality 1620",None
